"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"292","IL32",1462.16190928459,1.50692097123334,0.280196596730985,5.37808449072681,7.52824880063097e-08,4.80467276193694e-06,"Up"
"293","GIMAP4",696.773483169191,1.11907697128824,0.208285621708152,5.37279991825973,7.75233350481544e-08,4.93080161077613e-06,"Up"
"294","VMO1",91.7344107297389,1.32071612496351,0.245892391710969,5.37111423323714,7.82516170901877e-08,4.96019434045149e-06,"Up"
"295","APBB1IP",372.923524121303,1.27802290563673,0.238055681688595,5.36858812430503,7.93554139339075e-08,4.99897800015968e-06,"Up"
"296","SOCS1",183.24557595273,1.32548979814398,0.246901933338476,5.36848691389904,7.9399951064996e-08,4.99897800015968e-06,"Up"
"297","IL12RB1",351.641957309879,1.54995556869866,0.289215968071737,5.35916318532666,8.36083102154864e-08,5.24621033392527e-06,"Up"
"298","SCN9A",117.028253026579,2.58400389392612,0.48299570818448,5.34995208060763,8.79775240597375e-08,5.50184274623244e-06,"Up"
"299","TMSB4X",17749.8032360171,0.955451778178893,0.178713735096372,5.34626942726961,8.97855289969447e-08,5.59613083072596e-06,"Up"
"300","XCL1",36.8377800038467,1.92476313236681,0.360607107268611,5.33756294196689,9.42042049725242e-08,5.8519652128932e-06,"Up"
"301","HEPACAM",4.50352308325185,2.92457377034697,0.548800771253832,5.32902634897044,9.87406724858659e-08,6.11339259949035e-06,"Up"
